,Owner ID,Owner Name,Reg Owner IMO No,Owner Country,Owner Country Name,City Name,Address line 1,Address line 2,Owner Postcode,Code,Who,Comment
109,77744,INASTROS MARITIME CORP,6014788,589,Greece,Piraeus,Care of Navios Containers Management Inc ,"85, Akti Miaouli",185 38,j,Batch 10,
110,102074,IVY TRADING CO LLC,6024532,639,United States of America,Bayou La Batre,Care of Steiner Construction Co Inc ,"8690, Hemley Street",AL 36509-2348,j,Batch 10,
111,28706,JINGANG MARINE INC,5366261,604,"Hong Kong, China",Hong Kong,Care of Goldbeam International Ltd ,"Rooms 2602-4, 26th Floor, Yardley Commercial Building, 1-6, Connaught Road West, Sheung Wan",,j,Batch 10,
112,38767,KARIMATA INVESTMENTS,1571732,559,Indonesia,Jakarta,Care of PT Submare Laboro ,"Suite 805, Lantai 8, Gedung BRI II, Jalan Jendral Sudirman 44-46, Kel Bendungan Hilir",10210,j,Batch 10,
113,93029,KOPERVIK SHIP INVEST AS,5132636,600,Norway,Kopervik,Hovedgaten 57,,4250,j,Batch 10,
114,61715,LIBERA SHIPPING LTD,5796957,590,Greece,Athens,Care of Medcare Shipping SA ,"2nd Floor, 124, Vouliagmenis Avenue, Glyfada",166 74,j,Batch 10,
115,80605,LUCCERE MARINE CO,6022624,589,Greece,Athens,Care of Safbulk Maritime SA ,"11, Poseidonos Avenue, Elliniko",167 77,j,Batch 10,
116,78813,MARC MARINE SDN BHD,4004361,595,Malaysia,Kuching,Sarawak,,,j,Batch 10,
117,35488,MEDITERRANEAN LNG TRANSPORT,5143101,516,Algeria,Oran,Care of Hyproc Shipping Co ,"Zhun USTO, BP 7200, Es-Seddikia",31000,j,Batch 10,
118,29708,MINIBULK INC,5534131,589,Israel,Haifa,Care of Haifa Marine Shipping Ltd ,"102, Ha'Atzmaut Street",33411,j,Batch 10,
119,95577,MYOSEI KISEN/MIRA SHIPPING,5345790,569,Japan,Kobe,Care of Shinme Kisen Sangyo KK ,"5, Kaigan-dori, Chuo-ku, Hyogo-ken",650-0024,j,Batch 10,
120,27090,NEW CONFIDENCE LINE SA,5109311,604,Chinese Taipei,Taipei,Care of Hsin Chien Marine Co Ltd ,"3rd Floor, 4, Minquan E Road, Section 3, Zhongshan District",10477,j,Batch 10,
121,62705,NORDIC PIA PTE LTD,5794880,620,Denmark,Copenhagen,Care of Nordic Shipholding A/S ,Sundkrogsgade 19,2100,j,Batch 10,
122,55090,OCEAN OIL CONSTRUCTION,1818165,532,Mexico,Ciudad del Carmen,Care of Cotemar SA de CV ,"Avenida Lopez Mateos 4, Col Puerto Pesquero",24129,j,Batch 10,
123,85195,GARNET MARITIME LTD-MAI,6053989,589,Greece,Piraeus,Care of Marvin Shipping Services Inc ,"70, Filonos Street",185 35,j,Batch 10,
124,85775,GLORIOUS CLAMOR MARITIME INC,5091340,578,Japan,Os,Care of Nakanishi Kikai Kogyosho Co Ltd ,"8-39, Fukuzaki 2-chome, Minato-ku, aka-fu",552-0013,j,Batch 10,
125,105241,GREAT SOMETHING CO LTD,6151046,589,Portugal,Funchal,Care of Augustea Oceanbulk Maritime Ltda ,Avenida do Infante 50,9004-521,j,Batch 10,
126,81101,HAKATA KOUN/GREEN SHIPPING,5483793,569,Japan,Fukuoka,,,,j,Batch 10,
127,95651,HEAVENLY MARITIME CO,6095420,578,Greece,Piraeus,Care of Toria Shipmanagement SA ,"14, Skouze Street",185 36,j,Batch 10,
128,41888,HOLY SUCCESS INVESTMENT,5790017,642,"Hong Kong, China",Hong Kong,"Room 1505-1506, 15th Floor, Two Chinachem Exchange Square","338, Kings Road, North Point, Eastern",,j,Batch 10,
129,82760,IDA SELMER SHIPPING LTD,6041045,533,Cyprus,Limassol,Care of Ambra Shipmanagement Ltd ,"3, Archiepiskopou Makariou III Avenue, Mesa Geitonia",4000,j,Batch 10,
130,34691,JADE INTERNATIONAL SHIPPING,5702431,604,Singapore,Singapore,Care of Ocean Sentinels Shipmanagement Pte Ltd ,"03-04, Tan Boon Liat Building, 315, Outram Road",,j,Batch 10,
131,20576,JONQUIL INTERNATIONAL CO,4112233,578,Greece,Athens,Care of Alberta Shipmanagement Ltd ,"Ioannou Apostolopoulou 26, Chalandri ",152 31,j,Batch 10,
132,94082,KHAIRPUR SHIPPING PVT LTD,6083603,603,Pakistan,Karachi,Care of Pakistan National Shipping Corp ,"PNSC Building, Moulvi Tamizuddin Khan Road, ",74000,j,Batch 10,
133,103614,KOUJIN SHIPHOLDING,4091951,604,Japan,Tokyo,Care of Nippon Yusen KK (NYK Line) (Nippon Yusen Kaisha),"Yusen Building, 3-2, Marunouchi 2-chome, Chiyoda-ku",100-0005,j,Batch 10,
134,20973,LARES SHIPPING LTD,1998832,556,"Hong Kong, China",Hong Kong,"28th Floor, Tower 1, Evergain Plaza","88, Container Port Road, Kwai Chung, New Territories",,j,Batch 10,
135,79496,LOONSTRA F,1614194,598,Netherlands,Lauwersoog,Haven 50,,9976 VN,j,Batch 10,
136,35470,MAGELLAN SPIRIT APS,5664254,538,Denmark,Kastrup,Care of Malt LNG Transport ApS ,"Sal 2, Amager Strandvej 390",2770,j,Batch 10,
137,95632,MARISKA TANK REDERIJ,5604769,598,Netherlands,Werkendam,Biesboschhaven Zuid 10-11,,4251 NM,j,Batch 10,
138,42766,MERSIN SHIPPING CO,5750970,578,Greece,Athens,Care of Sunberry Oceanways Ltd ,"7, Granikou Street, Marousi",151 25,j,Batch 10,
139,108274,MORACEE LTD,5498451,551,France,Sophia Antiopolis,Care of Combet Yacht Consultant ,"BP 309, 400, avenue Roumanille",6906,j,Batch 10,
140,21823,NAN CHUAN MARITIME PTE LTD,5458614,620,Singapore,Singapore,Care of Ocean Tankers (Pte) Ltd ,"37, Tuas Road",638503,j,Batch 10,
141,21999,NEW VALOR SHIPPING INC,4015905,578,China,Hong Kong,Care of Associated Maritime Co (Hong Kong) Ltd (AMCL),"32nd Floor,  Merchants Tower, Shun Tak Centre, , Connaught Road Central, Central",168-200,j,Batch 10,
142,84100,NORDMAPLE GMBH & CO KG,6036535,535,Germany,Hamburg,Care of Reederei Nord GmbH ,Zirkusweg 2,20359,j,Batch 10,
143,40823,OCEAN INNOVATION SA,5730447,604,"Hong Kong, China",Hong Kong,Care of Prosperity Steamship Co Ltd ,"Ground Floor, Tai Fat Building, 43, Ko Shing Street, Sai Ying Pun, Western",,j,Batch 10,
144,108532,ODESSA MARINE LTD,5768221,590,Malta,Saint Julian's,"116/8, Triq San Gorg",Paceville,STJ 3203,j,Batch 10,
145,19328,GATWICK SHIPPING LTD,1879127,556,"Hong Kong, China",Hong Kong,Care of COSCO (HK) Shipping Co Ltd ,"33rd Floor, Tower 2, Kowloon Commerce Centre, 51, Kwai Cheong Road, Kwai Chung, New Territories",,j,Batch 10,
